gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
0,1,2,2,1,5,5790,2,2,2,64308
0,0,1,2,0,8,5080,2,2,2,515400
0,1,2,2,1,8,2599,2,2,2,64212
1,0,1,2,0,7,0,2,2,2,97920
0,1,1,3,1,6,3508,2,2,1,59736
0,0,1,3,1,1,0,1,0,1,348768
1,0,2,2,1,6,0,2,2,1,238920
1,1,1,2,0,0,5473,2,2,0,64128
1,1,1,2,1,3,6105,2,2,1,94536
0,0,1,3,1,6,0,2,2,2,99060
0,1,1,2,0,4,4329,2,2,2,74148
0,1,2,1,0,6,6351,2,0,0,64008
0,1,2,1,1,7,4327,1,2,2,60828
0,1,2,1,1,1,4615,2,0,0,133344
0,1,2,2,0,8,6915,2,2,2,65400
1,1,1,1,0,1,5398,1,2,1,55764
0,0,2,2,0,5,0,1,2,0,29124
1,0,1,3,1,2,0,2,2,0,102876
1,1,1,2,1,7,4336,2,0,2,75036
1,1,2,3,1,2,7541,2,2,2,110568
0,1,1,2,0,8,8029,2,2,0,113340
0,1,1,1,0,7,6132,1,2,2,34248
1,1,2,2,1,6,2212,2,1,2,115632
0,1,1,2,1,7,2933,2,2,2,265080
0,1,2,3,1,4,0,2,0,1,67632
1,0,2,2,1,3,3548,2,1,2,63396
1,1,1,1,1,7,3166,1,2,2,48684
0,0,2,2,1,7,0,1,2,0,30072
1,1,1,2,0,5,8145,2,2,0,262260
1,0,1,2,1,3,0,1,2,2,33552
0,1,1,2,1,1,5779,2,0,1,62568
0,0,0,2,1,4,4834,1,0,2,34824
0,0,2,2,0,0,2854,1,1,2,60156
1,0,1,1,1,7,2438,2,1,2,72888
1,1,1,2,1,7,3914,1,2,2,65664
0,0,1,3,1,5,0,1,2,0,32292
0,1,1,2,0,1,2634,1,2,2,55656
1,1,1,2,1,2,6473,2,2,2,106188
1,1,1,1,0,5,5573,1,2,0,34944
1,0,1,2,1,5,0,2,2,2,65496
1,1,2,2,0,7,2806,2,1,0,70236
1,0,1,2,0,6,2708,1,2,0,47964
1,1,2,1,1,5,6279,2,2,2,67992
0,1,2,2,1,6,4050,2,2,2,63276
1,1,1,1,0,3,5443,1,2,2,52464
0,0,2,2,0,6,0,1,2,2,31128
0,1,1,2,1,5,4190,1,2,2,28752
1,1,2,1,1,6,16123,2,2,2,72168
0,1,1,2,0,6,6458,2,2,2,67032
0,1,2,1,1,5,7890,2,1,0,208452
1,0,2,2,0,3,0,2,2,0,64056
1,1,1,2,0,7,9583,2,0,1,120048
0,0,2,2,1,5,0,2,2,1,91164
1,1,1,1,1,0,4080,2,2,2,160632
0,1,1,2,1,4,3988,2,0,2,109440
0,0,1,2,1,1,3170,1,0,2,49404
1,0,1,2,0,5,2845,2,2,2,227160
0,0,2,2,0,7,4262,1,1,2,71928
0,1,1,2,1,6,10108,2,2,2,56904
1,1,1,3,1,6,5124,1,2,1,31776
1,1,2,2,1,8,4384,2,2,1,480288
0,0,1,2,1,0,2852,1,2,0,49896
0,1,1,2,0,2,5976,2,2,2,62136
0,0,1,2,1,4,6526,2,1,2,60840
1,1,1,1,0,3,3203,1,1,2,35976
1,1,1,2,1,4,2634,2,1,0,71256
1,1,2,2,0,6,3335,2,2,1,31404
0,1,2,2,1,6,3566,1,2,2,33216
1,1,1,2,1,6,7317,2,1,2,64164
0,1,1,2,1,1,6111,1,2,2,44688
0,1,2,3,0,1,2280,2,2,2,53508
0,1,1,2,0,1,11583,2,2,0,430620
1,1,2,1,1,6,2669,1,1,0,31500
0,1,2,2,1,6,2692,2,1,2,103716
0,1,2,2,0,2,11021,2,1,0,94272
1,1,1,3,1,0,3207,1,1,0,30924
0,0,2,1,1,0,5144,2,2,1,95064
0,1,1,2,1,6,0,2,1,1,109416
0,1,2,2,0,4,4180,2,2,2,106428
1,1,2,3,0,5,6013,2,1,1,69636
0,1,1,3,0,6,3628,2,1,2,71052
1,0,1,1,1,3,5403,2,1,0,71496
1,1,1,2,1,5,6259,1,2,1,30804
0,1,1,2,0,1,3088,2,2,2,89808
1,1,1,1,0,2,6383,2,2,2,213216
0,0,1,2,1,5,0,1,0,2,31224
1,0,2,2,1,5,2065,2,2,1,117312
0,1,2,2,1,6,7239,2,2,0,389136
0,1,1,1,1,5,6494,1,2,2,67380
1,0,2,2,1,3,0,2,2,1,32700
0,1,1,2,1,1,7231,2,2,0,113508
0,0,1,2,0,7,3563,2,0,0,97164
0,1,1,0,0,6,6445,2,2,0,115908
1,1,1,1,1,7,4234,2,2,2,65748
1,0,0,3,1,6,5792,2,1,0,72432
0,1,1,2,1,1,5102,1,2,1,35820
1,1,2,1,1,2,3937,1,2,0,30564
0,0,1,2,1,3,0,1,0,1,30684
0,1,2,2,1,1,2398,2,2,1,105180
0,1,1,2,0,6,9840,2,2,1,68400
1,0,1,2,1,1,4861,1,2,1,35736
0,1,2,2,0,6,15703,2,1,2,63648
0,1,1,3,0,7,8869,2,1,2,168768
1,1,1,2,0,1,3922,1,1,2,36720
0,0,1,2,1,2,3011,2,2,2,71844
0,1,1,2,0,4,4083,2,2,0,147972
1,1,1,2,0,3,6512,2,2,2,61764
0,1,1,2,1,6,2696,2,2,1,306804
0,1,2,1,0,4,5793,2,2,2,371784
1,0,1,2,1,7,5504,1,2,1,81072
0,1,2,1,0,3,3714,1,2,0,53772
0,1,2,0,0,6,6270,2,2,0,63120
0,1,2,2,1,5,3243,1,2,1,48600
0,0,1,2,0,3,0,2,1,2,120864
1,1,2,1,0,6,6406,2,1,0,237348
0,1,1,1,1,1,7451,2,1,2,310416
1,0,1,3,1,8,0,2,1,2,99420
0,1,2,2,0,1,2281,1,2,0,32496
1,1,2,2,1,8,3412,1,1,1,56928
1,1,2,2,0,3,5297,1,2,2,31044
1,1,1,2,1,3,3164,2,2,2,136452
0,1,2,2,0,8,2471,2,1,2,67920
0,1,1,2,1,7,2836,1,1,1,33528
0,1,0,1,1,3,5192,2,1,0,56184
